"location","year","latitude","longitude","temp"
"ASA",2011,29.731835,-115.76808,17.7042746075429
"BMA",2011,32.025276,-116.901537,17.9170783300942
"ERE",2011,31.258831,-116.401248,15.3310856289696
"ERO",2011,29.844652,-115.778286,17.760238941526
"ISME",2011,30.485448,-116.122492,17.6425309579936
"ITSP",2011,31.80796,-116.798563,18.5102319242952
"RET",2011,31.580678,-116.680692,17.1691589937545
"SMI",2011,31.899616,-116.756898,17.991099930227
"SSI",2011,31.975977,-116.838891,16.58661354715
"ASA",2013,29.731835,-115.76808,18.5342584319599
"BMA",2013,32.025276,-116.901537,18.483923402353
"ERE",2013,31.258831,-116.401248,17.0253580706672
"ERO",2013,29.844652,-115.778286,18.2578158985707
"ISME",2013,30.485448,-116.122492,18.4568616227421
"ITSP",2013,31.80796,-116.798563,18.511045160826
"RET",2013,31.580678,-116.680692,17.8844912379282
"SMI",2013,31.899616,-116.756898,18.3564414493662
"SSI",2013,31.975977,-116.838891,17.1716384046578
