Year,ID,KelpAbundanceTransect,KelpDensityTransect
2013,2013ASAN1,30,0.5
2013,2013ASAN2,138.9999999,2.316666666
2013,2013ASAN3,24,0.4
2013,2013ASAS1,13,0.216666667
2013,2013ASAS2,11,0.183333333
2013,2013ASAS3,14,0.233333333
2013,2013BMAN1,34,0.566666667
2013,2013BMAN2,41.99999999,0.7
2013,2013BMAN3,20,0.333333333
2013,2013BMAS1,17,0.283333333
2013,2013BMAS2,26,0.433333333
2013,2013BMAS3,35,0.583333333
2013,2013EREN1,23,0.383333333
2013,2013EREN2,28,0.466666667
2013,2013EREN3,23,0.383333333
2013,2013ERES1,22,0.366666667
2013,2013ERES2,33.00000001,0.55
2013,2013ERES3,23,0.383333333
2013,2013ERON1,31.99999999,0.533333333
2013,2013ERON2,44.99999999,0.75
2013,2013EROS1,12,0.2
2013,2013EROS2,4,0.066666667
2013,2013EROS3,18,0.3
2013,2013ICON1,37,0.616666667
2013,2013ICON2,34,0.566666667
2013,2013ICOS1,19,0.316666667
2013,2013ICOS2,22,0.366666667
2013,2013ICOS3,15,0.25
2013,2013ISJEN1,31,0.516666667
2013,2013ISJEN2,31,0.516666667
2013,2013ISJEN3,22,0.366666667
2013,2013ISJES1,108.0000001,1.800000002
2013,2013ISJES2,72.99999999,1.216666667
2013,2013ISJES3,97,1.616666667
2013,2013ISJPN1,19,0.316666667
2013,2013ISJPN2,26,0.433333333
2013,2013ISJPN3,14,0.233333333
2013,2013ISJPS1,38,0.633333333
2013,2013ISJPS2,31.99999999,0.533333333
2013,2013ISJPS3,24,0.4
2013,2013ISMEN1,35,0.583333333
2013,2013ISMEN2,33.00000001,0.55
2013,2013ISMEN3,43,0.716666667
2013,2013ISMES1,20,0.333333333
2013,2013ISMES2,19,0.316666667
2013,2013ISMES3,21,0.35
2013,2013ISMPN1,28,0.466666667
2013,2013ISMPN2,7,0.116666667
2013,2013ISMPN3,4.999999998,0.083333333
2013,2013ISMPS1,28,0.466666667
2013,2013ISMPS2,36,0.6
2013,2013ISMPS3,26,0.433333333
2013,2013ITSEN1,49,0.816666667
2013,2013ITSEN2,69.99999999,1.166666667
2013,2013ITSEN3,59.99999999,1
2013,2013ITSES1,24,0.4
2013,2013ITSES2,9,0.15
2013,2013ITSES3,12,0.2
2013,2013ITSPN1,39,0.65
2013,2013ITSPN2,28,0.466666667
2013,2013ITSPN3,23,0.383333333
2013,2013ITSPS1,59,0.983333333
2013,2013ITSPS2,50,0.833333333
2013,2013ITSPS3,46.99999999,0.783333333
2013,2013RETN1,22,0.366666667
2013,2013RETN2,22,0.366666667
2013,2013RETN3,19,0.316666667
2013,2013RETS1,20,0.333333333
2013,2013RETS2,14,0.233333333
2013,2013RETS3,15,0.25
2013,2013SMIN1,21,0.35
2013,2013SMIN2,25,0.416666667
2013,2013SMIN3,63,1.05
2013,2013SMIS1,63,1.05
2013,2013SMIS2,40.99999999,0.683333333
2013,2013SMIS3,44.99999999,0.75
2013,2013SSIN1,17,0.283333333
2013,2013SSIN2,21,0.35
2013,2013SSIN3,28,0.466666667
2013,2013SSIS1,110,1.833333333
2013,2013SSIS2,72,1.2
2013,2013SSIS3,216.9999999,3.616666665
2011,2011CLON1,9,0.15
2011,2011CLON2,3,0.05
2011,2011CLOS1,22,0.366666667
2011,2011CLOS2,10,0.166666667
2011,2011CLOS3,53,0.883333333
2011,2011BMAN1,26,0.433333333
2011,2011BMAN2,24,0.4
2011,2011BMAN3,36,0.6
2011,2011BMAS1,15,0.25
2011,2011BMAS2,13,0.216666667
2011,2011BMAS3,14,0.233333333
2011,2011SSIN1,12,0.2
2011,2011SSIN2,25,0.416666667
2011,2011SSIN3,17,0.283333333
2011,2011SSIS1,13,0.216666667
2011,2011SSIS2,13,0.216666667
2011,2011SSIS3,18,0.3
2011,2011SMIN1,9,0.15
2011,2011SMIN2,4,0.066666667
2011,2011SMIN3,15,0.25
2011,2011SMIS1,25,0.416666667
2011,2011SMIS2,23,0.383333333
2011,2011SMIS3,25,0.416666667
2011,2011ITSPN1,125,2.083333333
2011,2011ITSPN2,105,1.75
2011,2011ITSPN3,115,1.916666667
2011,2011ITSPS1,75,1.25
2011,2011ITSPS2,85,1.416666667
2011,2011ITSPS3,50,0.833333333
2011,2011CKEN1,24,0.4
2011,2011CKEN2,9,0.15
2011,2011CKEN3,36,0.6
2011,2011RETN1,31,0.516666667
2011,2011RETN2,20,0.333333333
2011,2011RETN3,21,0.35
2011,2011RETS1,21,0.35
2011,2011RETS2,35,0.583333333
2011,2011RETS3,30,0.5
2011,2011STON1,160,2.666666667
2011,2011STON2,73,1.216666667
2011,2011STON3,150,2.5
2011,2011STOS1,60,1
2011,2011STOS2,95,1.583333333
2011,2011STOS3,59,0.983333333
2011,2011PCHS1,25,0.416666667
2011,2011PCHS2,30,0.5
2011,2011PCHS3,23,0.383333333
2011,2011EREN1,12,0.2
2011,2011EREN2,11,0.183333333
2011,2011EREN3,19,0.316666667
2011,2011ERES1,7,0.116666667
2011,2011ERES2,7,0.116666667
2011,2011ERES3,4,0.066666667
2011,2011COLN1,3,0.05
2011,2011COLN2,4,0.066666667
2011,2011COLN3,14,0.233333333
2011,2011COLS1,8,0.133333333
2011,2011COLS2,28,0.466666667
2011,2011COLS3,40,0.666666667
2011,2011VTRN1,20,0.333333333
2011,2011VTRN2,12,0.2
2011,2011VTRN3,5,0.083333333
2011,2011VTRS1,3,0.05
2011,2011VTRS2,5,0.083333333
2011,2011VTRS3,5,0.083333333
2011,2011ISMEN1,41,0.683333333
2011,2011ISMEN2,47,0.783333333
2011,2011ISMEN3,37,0.616666667
2011,2011ISMES1,36,0.6
2011,2011ISMES2,38,0.633333333
2011,2011ISMES3,26,0.433333333
2011,2011ERON1,22,0.366666667
2011,2011ERON2,55,0.916666667
2011,2011ERON3,13,0.216666667
2011,2011ASAN1,47,0.783333333
2011,2011ASAN2,47,0.783333333
2011,2011ASAN3,34,0.566666667
2011,2011ASAS1,34,0.566666667
2011,2011ASAS2,32,0.533333333
2011,2011ASAS3,23,0.383333333
